examMgmtNo,emOpenSeq,금융기관명,제재조치일,관련부서,기관제재내용,임원제재내용,직원제재내용,첨부파일명,첨부파일URL
201900464,1,주식회사 한우리크라우드대부,20201230,핀테크혁신실,"기관주의, 과태료 240만원 부과",주의 1명,첨부파일,201900464_01_㈜한우리크라우드대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900464_01_%E3%88%9C%ED%95%9C%EC%9A%B0%EB%A6%AC%ED%81%AC%EB%9D%BC%EC%9A%B0%EB%93%9C%EB%8C%80%EB%B6%80.pdf
201900446,1,주식회사 프리펀딩대부,20201230,핀테크혁신실,"기관주의, 과태료 240만원 부과",주의 1명,첨부파일,201900446_01_㈜프리펀딩대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900446_01_%E3%88%9C%ED%94%84%EB%A6%AC%ED%8E%80%EB%94%A9%EB%8C%80%EB%B6%80.pdf
201900434,1,주식회사 통일자산관리대부,20201230,핀테크혁신실,과태료 40만원 부과,퇴직자 위법·부당사항(주의상당) 1명,첨부파일,201900434_01_㈜통일자산관리대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900434_01_%E3%88%9C%ED%86%B5%EC%9D%BC%EC%9E%90%EC%82%B0%EA%B4%80%EB%A6%AC%EB%8C%80%EB%B6%80.pdf
201900351,1,에이치엔펀딩대부 주식회사,20201230,핀테크혁신실,과태료 240만원 부과,퇴직자 위법·부당사항(주의상당) 1명,첨부파일,201900351_01_에이치엔펀딩대부㈜.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900351_01_%EC%97%90%EC%9D%B4%EC%B9%98%EC%97%94%ED%8E%80%EB%94%A9%EB%8C%80%EB%B6%80%E3%88%9C.pdf
201900287,1,주식회사 미라클핀테크대부,20201230,핀테크혁신실,"기관주의, 과태료 40만원 부과",주의 1명,첨부파일,201900287_01_㈜미라클핀테크대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900287_01_%E3%88%9C%EB%AF%B8%EB%9D%BC%ED%81%B4%ED%95%80%ED%85%8C%ED%81%AC%EB%8C%80%EB%B6%80.pdf
201900253,1,더줌대부금융 주식회사,20201230,핀테크혁신실,"기관주의, 과태료 20만원 부과",퇴직자 위법·부당사항(주의상당) 1명,첨부파일,201900253_01_더줌대부금융.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900253_01_%EB%8D%94%EC%A4%8C%EB%8C%80%EB%B6%80%EA%B8%88%EC%9C%B5.pdf
201900451,1,핀테크인베스트먼트대부 주식회사,20201230,핀테크혁신실,"기관주의, 과태료 240만원 부과",퇴직자 위법·부당사항(주의상당) 1명,첨부파일,201900451_01_핀테크인베스트먼트대부㈜.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900451_01_%ED%95%80%ED%85%8C%ED%81%AC%EC%9D%B8%EB%B2%A0%EC%8A%A4%ED%8A%B8%EB%A8%BC%ED%8A%B8%EB%8C%80%EB%B6%80%E3%88%9C.pdf
201900416,1,(주)천사크라우드대부,20201230,핀테크혁신실,"기관주의, 과태료 240만원 부과",주의 1명,첨부파일,201900416_01_㈜천사크라우드대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900416_01_%E3%88%9C%EC%B2%9C%EC%82%AC%ED%81%AC%EB%9D%BC%EC%9A%B0%EB%93%9C%EB%8C%80%EB%B6%80.pdf
201900369,1,오리펀드대부 주식회사,20201230,핀테크혁신실,과태료 240만원 부과,퇴직자 위법·부당사항(주의상당) 2명,첨부파일,201900369_01_오리펀드대부㈜.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900369_01_%EC%98%A4%EB%A6%AC%ED%8E%80%EB%93%9C%EB%8C%80%EB%B6%80%E3%88%9C.pdf
201900286,1,주식회사 미드레이트대부,20201230,핀테크혁신실,"기관주의, 과태료 40만원 부과",주의 1명,첨부파일,201900286_01_㈜미드레이트대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900286_01_%E3%88%9C%EB%AF%B8%EB%93%9C%EB%A0%88%EC%9D%B4%ED%8A%B8%EB%8C%80%EB%B6%80.pdf
201900311,1,주식회사 슈펙스펀드대부,20201230,핀테크혁신실,과태료 140만원 부과,퇴직자 위법·부당사항(주의상당) 1명,첨부파일,201900311_01_㈜슈펙스펀드대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900311_01_%E3%88%9C%EC%8A%88%ED%8E%99%EC%8A%A4%ED%8E%80%EB%93%9C%EB%8C%80%EB%B6%80.pdf
201900412,1,주식회사 티페이대부,20201230,핀테크혁신실,과태료 100만원 부과,퇴직자 위법·부당사항(주의상당) 1명,첨부파일,201900412_01_㈜티페이대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900412_01_%E3%88%9C%ED%8B%B0%ED%8E%98%EC%9D%B4%EB%8C%80%EB%B6%80.pdf
201900256,1,주식회사 더하이원크라우드대부,20201229,핀테크혁신실,등록취소 및 과태료 240만원 부과,퇴직자 위법·부당사항(주의상당) 1명,첨부파일,201900256_01_㈜더하이원크라우드대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900256_01_%E3%88%9C%EB%8D%94%ED%95%98%EC%9D%B4%EC%9B%90%ED%81%AC%EB%9D%BC%EC%9A%B0%EB%93%9C%EB%8C%80%EB%B6%80.pdf
201900445,1,주식회사 폴라리스대부,20201229,핀테크혁신실,등록취소 및 과태료 240만원 부과,주의 1명,첨부파일,201900445_01_㈜폴라리스대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900445_01_%E3%88%9C%ED%8F%B4%EB%9D%BC%EB%A6%AC%EC%8A%A4%EB%8C%80%EB%B6%80.pdf
201900436,1,주식회사 투피엠대부,20201229,핀테크혁신실,등록취소 및 과태료 240만원 부과,주의 1명,첨부파일,201900436_01_㈜투피엠대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900436_01_%E3%88%9C%ED%88%AC%ED%94%BC%EC%97%A0%EB%8C%80%EB%B6%80.pdf
